item_id,task,context,context_without_dialog_prefix,dialog_prefix,dialog,true_intention,incorrect_literal_intention,original_prompt_str,person1,person2,options_dict,intention_pronoun,turn1_true_intention_dialog,turn1_literal_intention_dialog,turn2_response_from_literal_intention,turn2_response_from_true_intention,,
11,indirectspeech,Richard is driving his wife home from church. On the way home they want to stop at a new gourmet grocery store at 2401 Main Street. It is in a part of town that they are not familiar with. Richard points at a building and asks his wife:,Richard is driving his wife home from church. On the way home they want to stop at a new gourmet grocery store at 2401 Main Street. It is in a part of town that they are not familiar with. Richard points at a building. ,He asks his wife:," ""Can you see that house number?"" ",He needs his wife's help in confirming the house number.,He wants to know how good her vision is. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Richard is driving his wife home from church. On the way home they want to stop at a new gourmet grocery store at 2401 Main Street. It is in a part of town that they are not familiar with. Richard points at a building and asks his wife: ""Can you see that house number?"" What might he be trying to convey?
Options:
1) He wants her to see an eye doctor.
2) He wants her to tell him the house number.
3) He wants to know how good her vision is.
4) He wants her to see a dentist.
Answer: ",Richard,His wife,"{""'IncorrectLexicalOverlap'"": 'He wants her to see an eye doctor.', ""'CorrectNonLiteral'"": 'He wants her to tell him the house number.', ""'IncorrectLiteral'"": 'He wants to know how good her vision is.', ""'IncorrectAssociative'"": 'He wants her to see a dentist.'}",he,"""Can you please help me confirm our house number?""","""Do you have good vision, darling?""","""Yes, my vision is very clear, darling.""","""Our house number is 2401, Richard.""",,
12,indirectspeech,"It has been a hot day. Juan's wife is leaving the house and says to him, ",It has been a hot day. Juan's wife is leaving the house.,"She says to him, ","""The lawn looks dry""",She wants to know whether he has time and a desire to water the lawn. ,She wants to make a comment on the dry look of the lawn.,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: It has been a hot day. Juan's wife is leaving the house and says to him, ""Can you water the lawn?'' What might he be trying to convey?
Options:
1) She wants to know whether he has time and a desire to water the lawn. 
2) She wants to know whether he is allowed to water the lawn.
3) She wants to know whether he won the golf tournament.
4) She wants to know whether he will water the plants in the office.
Answer: ",Juan,His wife,"{""'CorrectNonLiteral'"": 'She wants to know whether he has time and a desire to water the lawn. ', ""'IncorrectLiteral'"": 'She wants to know whether he is allowed to water the lawn.', ""'IncorrectAssociative'"": 'She wants to know whether he won the golf tournament.', ""'IncorrectLexicalOverlap'"": 'She wants to know whether he will water the plants in the office.'}",she,"""Do you have the time and interest to water the lawn?""","""Don't you think our lawn looks really dry""","""Yes, I also noticed that our lawn looks dry.""","""Yes, I have both the time and interest to water the lawn.""",,
13,indirectspeech,A house painter is carrying a heavy tray of paints. A small ladder is blocking the sidewalk and the painter cannot get around it. He calls out to his brother:,A house painter is carrying a heavy tray of paints. A small ladder is blocking the sidewalk and the painter cannot get around it. He calls out to his brother.,"He says,"," ""Your ladder is in the way.""  ",He needs his brother to clear the path.,He wants tell his brother where the ladder is.,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: A house painter is carrying a heavy tray of paints. A small ladder is blocking the sidewalk and the painter cannot get around it. He calls out to his brother: ""Can you move the ladder?""  What might he be trying to convey?
Options:
1) He wants him to move the ladder.
2) He wants him to bring brushes from the truck.
3) He wants him to bring tires from the truck.
4) He wants to know whether his brother is strong enough to move the ladder.
Answer: ",his,His brother,"{""'CorrectNonLiteral'"": 'He wants him to move the ladder.', ""'IncorrectLexicalOverlap'"": 'He wants him to bring brushes from the truck.', ""'IncorrectAssociative'"": 'He wants him to bring tires from the truck.', ""'IncorrectLiteral'"": 'He wants to know whether his brother is strong enough to move the ladder.'}",he,"""Could you please clear the path for me?""","""I just wanted to let you know the ladder is on the sidewalk.""","""Thanks for informing me, I will retrieve it shortly.""","""Sure, I will move the ladder right away.""",,
14,indirectspeech,Brad is interested in basketball and wants to join his school's basketball team. One day he comes to the basketball court and asks the players there:,Brad is interested in basketball and wants to join his school's basketball team. One day he comes to the basketball court.,He tells the players there:,"""You guys seem to be having fun. """,He wants to join their game.,He wants to tell the players that they look happy.,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Brad is interested in basketball and wants to join his school's basketball team. One day he comes to the basketball court and asks the players there: ""Do you think I can play basketball with you?"" What might he be trying to convey?
Options:
1) He wants to join their game.
2) He wants to get a new uniform.
3) He wants to know their opinion.
4) He wants to get good grades on his math test.
Answer: ",Brad,the players,"{""'CorrectNonLiteral'"": 'He wants to join their game.', ""'IncorrectLexicalOverlap'"": 'He wants to get a new uniform.', ""'IncorrectLiteral'"": 'He wants to know their opinion.', ""'IncorrectAssociative'"": 'He wants to get good grades on his math test.'}",he,"""I'd like to join your game if you don't mind.""","""You all seem to be really enjoying yourselves.""","""Yes, we are really enjoying ourselves.""","""Sure, you can join our game.""",,
15,indirectspeech,Jane is watching TV while her mom is cooking dinner in the kitchen. The doorbell rings. Jane's mother says:,Jane is watching TV while her mom is cooking dinner in the kitchen. The doorbell rings., Jane's mother says:," ""Someone is at the door"". ",Jane's mother wants Jane to open the door.,Jane's mother suspects that someone is standing at their door. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jane is watching TV while her mom is cooking dinner in the kitchen. The doorbell rings. Jane's mother says: ""Someone is at the door"". What might she be trying to convey?
Options:
1) She suspects that someone is standing at their door.
2) She wants Jane to help her with cooking.
3) She wants Jane to open the door.
4) She wants Jane to help her with painting the house.
Answer: ",Jane's mother,Jane,"{""'IncorrectLiteral'"": 'She suspects that someone is standing at their door.', ""'IncorrectLexicalOverlap'"": 'She wants Jane to help her with cooking.', ""'CorrectNonLiteral'"": 'She wants Jane to open the door.', ""'IncorrectAssociative'"": 'She wants Jane to help her with painting the house.'}",she,"""Jane, could you please open the door?""","""I suspect that someone is standing at our door, Jane.""","Yes, I think someone is at the door.","""Sure, I'll open the door.""",,
16,indirectspeech,"Adam and Bill are working together on a project. Adam decides to take a break, and opens a window. A cold breeze blows in. Bill says, ","Adam and Bill are working together on a project. Adam decides to take a break, and opens a window. A cold breeze blows in. ","Bill says, ","""I am getting cold."" ",He wants Adam to close the window.,He wants to tell Adam that he is shivering. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Adam and Bill are working together on a project. Adam decides to take a break, and opens a window. A cold breeze blows in. Bill says, ""I am getting cold."" What might he be trying to convey?
Options:
1) He wants Adam to get back to the project.
2) He wants to describe his physical state to Adam.
3) He wants Adam to invite Julie to the movies.
4) He wants Adam to close the window.
Answer: ",Bill,Adam,"{""'IncorrectLexicalOverlap'"": 'He wants Adam to get back to the project.', ""'IncorrectLiteral'"": 'He wants to describe his physical state to Adam.', ""'IncorrectAssociative'"": 'He wants Adam to invite Julie to the movies.', ""'CorrectNonLiteral'"": 'He wants Adam to close the window.'}",he,"""Could you please close the window?""","""I'm shivering.""","""I am shivering too, Bill""","""Sure, I'll close the window.""",,
17,indirectspeech,"Mark invited Josh to his house to watch a football game. Josh brings a six-pack of beer with him. Josh picks up one bottle, examines it and then says to Mark:","Mark invited Josh to his house to watch a football game. Josh brings a six-pack of beer with him. Josh picks up one bottle, examines it. ",He then says to Mark:," ""Hmm, this isn't a twist off."" ",He wants Mark to get a bottle opener.,He is upset that they will not be able to drink beer. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Mark invited Josh to his house to watch a football game. Josh brings a six-pack of beer with him. Josh picks up one bottle, examines it and then says to Mark: ""Hmm, this isn't a twist off."" What might he be trying to convey?
Options:
1) He wants Mark to bring some pancakes.
2) He wants Mark to bring some wine.
3) He is upset that they will not be able to drink beer.
4) He wants Mark to get a bottle opener.
Answer: ",Josh,Mark,"{""'IncorrectAssociative'"": 'He wants Mark to bring some pancakes.', ""'IncorrectLexicalOverlap'"": 'He wants Mark to bring some wine.', ""'IncorrectLiteral'"": 'He is upset that they will not be able to drink beer.', ""'CorrectNonLiteral'"": 'He wants Mark to get a bottle opener.'}",he,"""Could you please grab a bottle opener?""","""I'm really upset, Mark. It doesn't look like we'll be able to drink beer.""","That's unfortunate, Josh. I was looking forward to having a beer.","""Sure, I will get a bottle opener.""",,
18,indirectspeech,"Natalie returns home to find that her partner, Alex, created a big mess on the table. Natalie says:","Natalie returns home to find that her partner, Alex, created a big mess on the table. ",Natalie says:," ""Alex, my parents are going to be here any minute"" ",She wants Alex to clean the mess.,She wants to inform Alex of when her parents will arrive. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Natalie returns home to find that her partner, Alex, created a big mess on the table. Natalie says: ""Alex, my parents are going to be here any minute"" What might she be trying to convey?
Options:
1) She wants Alex to clean the mess.
2) She wants Alex to know when her parents will arrive.
3) She wants Alex to apply for a job.
4) She wants Alex to prepare some dinner.
Answer: ",Natalie,Alex,"{""'CorrectNonLiteral'"": 'She wants Alex to clean the mess.', ""'IncorrectLiteral'"": 'She wants Alex to know when her parents will arrive.', ""'IncorrectAssociative'"": 'She wants Alex to apply for a job.', ""'IncorrectLexicalOverlap'"": 'She wants Alex to prepare some dinner.'}",she,"""Could you please clean up this mess?""","""My parents are coming to town soon, Alex, just wanted to keep you in the loop.""","Thanks for letting me know, Natalie.","""Sure, I'll clean it up right away.""",,
19,indirectspeech,Nate is about to leave the house. His wife points at a full bag of garbage and asks:,Nate is about to leave the house. His wife points at a full bag of garbage. , She asks:," ""Are you going out?"" ",She wants Nate to take the garbage out.,She wants to know Nate's plans. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Nate is about to leave the house. His wife points at a full bag of garbage and asks: ""Are you going out?"" What might she be trying to convey?
Options:
1) She wants to know Nate's plans.
2) She wants Nate to take the garbage out.
3) She wants Nate to bring his friends over. 
4) She wants Nate to spend more time with the family.
Answer: ",His wife,Nate,"{""'IncorrectLiteral'"": ""She wants to know Nate's plans."", ""'CorrectNonLiteral'"": 'She wants Nate to take the garbage out.', ""'IncorrectAssociative'"": 'She wants Nate to bring his friends over. ', ""'IncorrectLexicalOverlap'"": 'She wants Nate to spend more time with the family.'}",she,"""Nate, could you please take the garbage out?""","""What are your plans, Nate?""","""I plan to finish my work report and then take a walk in the park.""","""Sure, I will take the garbage out now.""",,
20,indirectspeech,"Sam is sunning himself on the porch. Peter comes out of the house and forgets to close the screen door. Sam says, ",Sam is sunning himself on the porch. Peter comes out of the house and forgets to close the screen door. ,"Sam says, ","""Peter, there are many flies and mosquitoes outside."" ",He wants Peter to close the screen door.,He wants to tell Peter about the increase of bugs.,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Sam is sunning himself on the porch. Peter comes out of the house and forgets to close the screen door. Sam says, ""Peter, there are many flies and mosquitoes outside."" What might he be trying to convey?
Options:
1) He wants Peter to bring him some flowers.
2) He wants Peter to close the screen door.
3) He wants Peter to know that he might get bitten.
4) He wants Peter to bring him some sunscreen.
Answer: ",Sam ,Peter,"{""'IncorrectAssociative'"": 'He wants Peter to bring him some flowers.', ""'CorrectNonLiteral'"": 'He wants Peter to close the screen door.', ""'IncorrectLiteral'"": 'He wants Peter to know that he might get bitten.', ""'IncorrectLexicalOverlap'"": 'He wants Peter to bring him some sunscreen.'}",he,"""Could you please close the screen door?""","""Hey, I thought I should let you know that there's been an increase in bugs lately.""","""Thanks for letting me know about the bug increase, Sam.""","""Sure, I will close the screen door right away.""",,
1,irony,"In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers:","In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?""", Simon answers:,"You could surely step straight into a fashion show, the way it sweeps the floor! ",Lara needs to get a dress of a shorter length.,Simon thinks the dress is fitting well. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
Options:
1) Simon does not like the color of this dress.
2) Simon has to get back to work.
3) The dress is fitting well.
4) Lara needs to get a dress of a shorter length.
Answer: ",Simon,Lara,"{""'IncorrectAssociate'"": 'Simon does not like the color of this dress.', ""'IncorrectNonSequitur'"": 'Simon has to get back to work.', ""'IncorrectLiteral'"": 'The dress is fitting well.', ""'CorrectNonLiteral'"": 'Lara needs to get a dress of a shorter length.'}",Lara,"""You need to find a dress that's a bit shorter in length.""","""The dress fits you well.""","""Thank you, Simon, I appreciate your feedback on the fit of this dress.""","""So, this dress is too long for me, right?""",,
